PERIODO,total_importe,total_consumo,cantidad_registros
202210,10361924.299999995,10216061.0,91424
202212,9033918.100000026,9020502.075200005,87506
202301,12256983.100000035,12316116.801200004,87393
202302,21111454.100000374,21815530.35739998,92461
202303,22317728.999999937,23900681.078499988,92405
202304,9741272.100000007,10521354.9827,88222
202305,16710551.29999999,17356867.4405,94395
202306,22969324.400000237,24511761.48519998,93661
202307,23014649.700000186,24903022.899300005,93756
202308,21602008.599999975,23913512.613800004,93666
202309,21065341.10000002,23563170.669099998,93664
202310,7352639.799999997,8492296.668899998,86599
202311,20794659.899999864,23597444.010900002,93473
202312,6669001.999999985,7174010.599400002,85596
202401,17228880.299999923,19333975.565700002,92013
202402,13194650.500000011,14265876.723500004,91838
202403,12412245.599999959,13337767.545799999,91419
202404,18634744.99999994,21297430.103699997,92225
202405,7791369.099999999,8056389.529999998,86393
202406,19513703.59999998,21621989.628599994,92443
202409,11004139.000000002,12599710.838699998,88842
202410,12853654.300000027,13705460.384600004,91848
202411,12450468.999999953,13231580.276999997,91804
202412,12261228.200000027,12607173.911600001,91763
202501,19406975.000000104,21979702.1299,92222
202502,18799863.69999988,21410697.556500003,92927
202503,22081287.199999843,25129870.104500003,93362
202504,16396807.799999908,17139514.850000013,93460
202505,20218881.899999928,23525270.91180001,91872
202506,19932234.300000083,22629148.086899992,93427
20240731,19570947.500000186,21501375.926299997,92765
