DISTRITO,TARIFA,CARTERA,consumo_promedio,consumo_std,importe_promedio,importe_std,consumo_minimo,consumo_maximo,total_registros
ABELARDO PARDO LEZAMETA,BT5B,C,44.41145795078956,53.72316618398178,38.413183988248335,51.442777668444144,0.3,559.0,2723
ABELARDO PARDO LEZAMETA,BT5B,COMÚN,43.97727272727273,42.45429652727641,41.10113636363636,43.77230398773846,1.0,203.0,88
ACO,BT5B,C,29.02853287536801,44.136953040644364,24.706771344455287,41.58209953802727,0.5,628.0,4076
ACO,BT5B,COMÚN,28.975609756097562,37.74632005295386,26.893902439024398,37.61170470332089,1.0,406.0,164
ACOBAMBA,BT5B,C,24.249413193039256,58.51642811435975,20.837140833670542,55.429097341518315,0.7,1529.0,9884
ACOBAMBA,BT5B,COMÚN,26.645569620253166,46.76181809022265,24.827531645569618,47.8665423288836,1.0,496.0,316
ACOPAMPA,BT5B,C,65.55211736617241,158.14904038824852,64.60640236240273,150.69974211175,0.1,3652.0,15916
ACOPAMPA,BT5B,COMÚN,61.74248120300752,144.4678117266744,66.4823308270677,150.77266853771783,1.0,2004.0,532
ACOPAMPA,BT6,C,300.0,0.0,107.14197530864197,3.420155851621787,300.0,300.0,81
ACOPAMPA,BT6,COMÚN,300.0,0.0,111.86666666666667,0.057735026918967494,300.0,300.0,3
ACOPAMPA,MT3,M,5038.593703703704,1359.999591060878,4788.737037037036,1189.7268976043163,2517.6,9495.0,27
ACOPAMPA,MT3,MAYOR,5488.0,0.0,5130.0,0.0,5488.0,5488.0,1
ACOPAMPA,MT4,M,1699.4348148148147,134.9495250100762,1301.3629629629634,125.77948697911496,1410.9125,1994.9575,27
ACOPAMPA,MT4,MAYOR,1808.0,0.0,1347.9,0.0,1808.0,1808.0,1
ACORIA,BT5B,C,3.1666666666666665,0.752772652709081,5.783333333333334,0.32506409624359717,2.0,4.0,6
ACZO,BT5B,C,23.78315849486887,44.74746497631015,19.718830428408346,41.63217179032996,0.48,1307.0,12278
ACZO,BT5B,COMÚN,23.560411311053986,32.59600531839728,22.823393316195386,31.792295357929582,1.0,339.0,389
ACZO,MT3,M,1410.7978111111117,645.8568618453343,851.0703703703704,362.5985230483453,365.7758,2400.0,54
ACZO,MT3,MAYOR,646.0,322.44069222106566,411.59999999999997,172.8168973219922,418.0,874.0,2
ACZO,MT4,M,7735.105555555555,973.1915318023451,5002.02962962963,602.5706985745546,6027.0,9381.825,27
ACZO,MT4,MAYOR,8115.0,0.0,5168.2,0.0,8115.0,8115.0,1
AGALLPAMPA,BT5B,C,30.339191830044754,186.48733809274808,28.859429700140993,176.21161689139655,0.1,8175.0,47589
AGALLPAMPA,BT5B,COMÚN,29.286815728604473,178.71131478249433,29.969545104086357,182.54553517638556,1.0,5732.0,1297
AGALLPAMPA,BT5D,COMÚN,220.0,0.0,95.4,0.0,220.0,220.0,1
AGALLPAMPA,MT2,M,230.39783793103445,37.20864780586644,335.3620689655173,50.016900099531384,150.9897,326.3076,29
AGALLPAMPA,MT2,MAYOR,226.0,0.0,308.3,0.0,226.0,226.0,1
AGALLPAMPA,MT4,M,6832.035284210528,846.7405891427995,4994.515789473684,648.5606381854427,5524.9128,8832.8016,19
AGALLPAMPA,MT4,MAYOR,6980.0,0.0,4704.0,0.0,6980.0,6980.0,1
AIJA,BT5B,C,62.00449751420454,162.46988892623344,58.418492542613926,156.23153884454615,0.1,2247.0,11264
AIJA,BT5B,COMÚN,62.49602122015915,171.11681219266052,63.0106100795756,173.40449328486886,1.0,2397.0,377
AIJA,MT3,M,1920.9141251366116,2285.3214018363515,1353.5256830601095,1404.7939414992586,77.9,8736.6583,183
AIJA,MT3,MAYOR,1316.4285714285713,1643.5105574291126,992.7142857142859,999.5022785176154,109.0,4889.0,7
AIJA,MT4,M,487.85848024691336,337.9461892380566,499.5176954732511,278.2990622945145,56.4546,2343.97,243
AIJA,MT4,MAYOR,556.2222222222222,223.13492430465573,573.988888888889,241.65856308252583,296.0,972.0,9
ALFONSO UGARTE,BT5B,C,27.00544121126094,91.03401198513572,27.198864442867233,85.49509432398142,0.5,1544.0,4227
ALFONSO UGARTE,BT5B,COMÚN,21.425,37.52995449340073,22.67625000000001,37.569649344740924,1.0,300.0,160
ALTO TRUJILLO,BT5B,C,50.17717415660401,141.71895519648675,50.263923814266136,130.56715165490547,1.0,3397.0,8033
